Date,Capital
2007-06-07,11593.598945044476
2007-06-08,11593.598945044476
2007-06-11,11592.05012808558
2007-06-12,11372.42906663533
2007-06-13,11686.23356868192
2007-06-14,11684.718380454015
2007-06-15,12064.84358943625
2007-06-18,12092.388894434964
2007-06-19,12031.789223437796
2007-06-20,11763.579677837894
2007-06-21,11762.088214301053
2007-06-22,11533.759663872672
2007-06-25,11444.720898228601
2007-06-26,11349.56778706755
2007-06-27,11349.56778706755
2007-06-28,11348.125489867252
2007-06-29,11355.780953955182
2007-07-02,11354.376167737306
2007-07-03,11586.775679942455
2007-07-05,11829.390555321457
2007-07-06,12023.482455624659
2007-07-09,12087.32847546124
2007-07-10,11811.513669767215
2007-07-11,11923.882664679595
2007-07-12,12483.173798448033
2007-07-13,12838.157668739415
2007-07-16,12879.019121434825
2007-07-17,13108.86479284651
2007-07-18,12991.87254038387
2007-07-19,12990.498135710432
2007-07-20,12732.961273317742
2007-07-23,12731.595342227372
2007-07-24,12138.769666554615
2007-07-25,12039.210567259815
2007-07-26,11935.202442572092
2007-07-27,11815.798356194606
2007-07-30,11815.798356194606
2007-07-31,11676.033444489607
2007-08-01,11676.033444489607
2007-08-02,11676.033444489607
2007-08-03,11505.268498907133
2007-08-06,11505.268498907133
2007-08-07,11505.268498907133
2007-08-08,11503.939666972148
2007-08-09,10916.905366452569
2007-08-10,10495.230985997394
2007-08-13,10495.230985997394
2007-08-14,10495.230985997394
2007-08-15,10495.230985997394
2007-08-16,10495.230985997394
2007-08-17,10493.826856334952
2007-08-20,10640.474771836078
2007-08-21,10640.474771836078
2007-08-22,10640.474771836078
2007-08-23,10640.474771836078
2007-08-24,10640.474771836078
2007-08-27,10639.200324727082
2007-08-28,9922.721762388506
2007-08-29,9922.721762388506
2007-08-30,9922.721762388506
2007-08-31,9922.721762388506
2007-09-04,9921.654176909376
2007-09-05,9738.398052158447
2007-09-06,9738.398052158447
2007-09-07,9738.398052158447
2007-09-10,9738.398052158447
2007-09-11,9738.398052158447
2007-09-12,9738.398052158447
2007-09-13,9738.398052158447
2007-09-14,9738.398052158447
2007-09-17,9738.398052158447
2007-09-18,9738.398052158447
2007-09-19,9737.40837755965
2007-09-20,9636.651749853934
2007-09-21,9816.574299328428
2007-09-24,9953.315436929044
2007-09-25,10144.842890267955
2007-09-26,10143.881542302819
2007-09-27,10304.673599830707
2007-09-28,10219.034351799548
2007-10-01,10456.726958579904
2007-10-02,10582.564220993032
2007-10-03,10392.060587617601
2007-10-04,10351.075667975232
2007-10-05,10350.170422051018
2007-10-08,10615.137418067907
2007-10-09,10809.336831297676
2007-10-10,10888.333202780972
2007-10-11,10552.153902337426
2007-10-12,10551.272285347257
2007-10-15,10431.894948580437
2007-10-16,10430.998877641547
2007-10-17,10792.491360222797
2007-10-18,10791.607125119546
2007-10-19,10246.817911142
2007-10-22,10246.817911142
2007-10-23,10246.00184542362
2007-10-24,9987.388659405176
2007-10-25,9846.946636675057
2007-10-26,9846.16422976229
2007-10-29,9952.847604109613
2007-10-30,9948.580269135718
2007-10-31,10361.729354690566
2007-11-01,10231.751727521278
2007-11-02,10104.314168827485
2007-11-05,10104.314168827485
2007-11-06,10104.314168827485
2007-11-07,9979.855711137223
2007-11-08,9979.855711137223
2007-11-09,9978.885594374917
2007-11-12,9339.464331418952
2007-11-13,9338.574087851834
2007-11-14,9290.893557046076
2007-11-15,9289.985598365129
2007-11-16,9506.22371374996
2007-11-19,9284.125621774605
2007-11-20,9095.337446078023
2007-11-21,9094.42124908254
2007-11-23,9340.936696859868
