Index,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
103,0.945,2.52,53.03502416,0.365448373,-31.58914729,145.1231639,1.678900151,243.6473019
104,0.945,0.68,43.3516728,0.294832004,-26.17716529,147.0385584,1.656087369,243.5086993
105,0.965,0.68,44.89073869,0.317461909,-26.17716529,141.4051179,1.714881584,242.4930326
106,0.945,2.22,52.82360975,0.364686644,-31.58914729,144.8465706,1.672207523,242.213525
107,0.945,2.24,52.74789034,0.36413349,-31.58914729,144.8586624,1.669810516,241.8865179
108,0.945,2.2,52.75039301,0.364448045,-31.58914729,144.7405021,1.669889742,241.7006797
109,0.945,1,48.52962244,0.331226365,-29.46276769,146.5149747,1.647150836,241.3322632
110,0.935,0.66,42.63784505,0.2840532,-26.56319883,150.1051387,1.605147231,240.9408478
111,0.945,2.46,52.75666808,0.365732849,-31.58914729,144.2491922,1.670088388,240.908901
112,0.955,0.78,48.27684983,0.320407482,-30.25598234,150.673291,1.595613366,240.416317
113,0.945,2.54,52.67248381,0.365314995,-31.58914729,144.1837442,1.667423414,240.415351
114,0.945,1.66,52.00591373,0.35685434,-31.58914729,145.7342897,1.646322177,239.925593
115,0.945,2.56,52.58461103,0.365409123,-31.58914729,143.9061254,1.664641674,239.5521336
116,0.945,2.9,52.58300322,0.365442438,-31.58914729,143.8886069,1.664590777,239.5156478
117,0.945,2.92,52.55242041,0.365466397,-31.58914729,143.7954919,1.663622634,239.2214351
118,0.945,2.26,52.51561063,0.365046856,-31.58914729,143.8599176,1.662457367,239.1609798
119,0.945,2.94,52.52183317,0.365490528,-31.58914729,143.70231,1.662654351,238.927271
120,0.945,2.58,52.49674102,0.365503965,-31.58914729,143.6283763,1.661860022,238.6902567
121,0.945,2.96,52.49124148,0.365514829,-31.58914729,143.6090612,1.661685927,238.633156
122,0.945,2.3,52.49769534,0.365900707,-31.58914729,143.4752499,1.661890233,238.4401165
123,0.945,2.98,52.46064535,0.365539301,-31.58914729,143.5157457,1.660717362,238.3390906
124,0.95,0.54,43.58993268,0.281297922,-28.34687247,154.9600238,1.537733404,238.2872048
125,0.945,1.64,51.81880643,0.356776341,-31.58914729,145.2417117,1.640399026,238.2543623
126,0.945,3,52.43004477,0.365563943,-31.58914729,143.4223636,1.659748657,238.0450753
127,0.945,2.6,52.40887377,0.365599521,-31.58914729,143.3504989,1.659078458,237.8297247
128,0.945,3.02,52.39943974,0.365588756,-31.58914729,143.3289151,1.65877981,237.7511106
129,0.945,1.68,51.77189941,0.356924761,-31.58914729,145.0498959,1.638914116,237.724322
130,0.935,0.54,37.49443199,0.263774147,-22.4314927,142.1459703,1.671508557,237.5982057
131,0.945,2.28,52.39565637,0.365916331,-31.58914729,143.1902649,1.658660042,237.5039709
132,0.945,3.04,52.36883026,0.365613739,-31.58914729,143.2354003,1.657810823,237.4571968
133,0.945,3.06,52.33821633,0.365638893,-31.58914729,143.1418194,1.656841695,237.1633346
134,0.97,0.6,44.73741413,0.311789561,-27.07315483,143.4859266,1.652464015,237.1053304
135,0.96,0.64,45.45764545,0.311309591,-28.00166512,146.0207034,1.623390797,237.0486661
136,0.955,1.08,53.27920509,0.351675983,-34.05568725,151.5008351,1.564473055,237.0189744
137,0.945,2.62,52.3210093,0.365695791,-31.58914729,143.072495,1.656296981,236.9705416
138,0.945,3.08,52.30759794,0.365664217,-31.58914729,143.0481725,1.655872426,236.8695244
139,0.945,2.32,52.33482065,0.366077394,-31.58914729,142.961083,1.6567342,236.8485154
140,0.96,0.3,34.45883521,0.239194365,-20.9710671,144.0620694,1.643160791,236.7171438
141,0.945,3.1,52.27697509,0.365689711,-31.58914729,142.9544598,1.654903015,236.5757666
142,0.945,3.12,52.24634778,0.365715376,-31.58914729,142.8606815,1.653933463,236.2820617
143,0.945,2.64,52.23314758,0.365792775,-31.58914729,142.7943667,1.653515592,236.1127118
144,0.945,3.14,52.215716,0.36574121,-31.58914729,142.7668376,1.65296377,235.9884102
145,0.945,3.16,52.18507976,0.365767216,-31.58914729,142.6729284,1.651993936,235.6948126
146,0.945,1.16,50.2221193,0.344155565,-31.10913483,145.9285406,1.614384957,235.5848408
147,0.945,0.78,46.30631353,0.306162211,-29.75079891,151.2476452,1.556472943,235.4128674
148,0.945,3.18,52.15443905,0.365793391,-31.58914729,142.578954,1.65102396,235.4012693
149,0.945,2.4,52.19197183,0.366401565,-31.58914729,142.4447294,1.652212114,235.3489075
150,0.945,2.34,52.17202756,0.366255411,-31.58914729,142.4471175,1.65158075,235.2629172
151,0.945,2.66,52.14528863,0.36589047,-31.58914729,142.5161158,1.65073429,235.2562392
152,0.945,3.2,52.12379387,0.365819736,-31.58914729,142.4849145,1.650053843,235.1077808
153,0.945,2.74,52.14019458,0.366208736,-31.58914729,142.3783473,1.650573031,235.0058602
154,0.945,3.22,52.09314422,0.365846252,-31.58914729,142.3908102,1.649083584,234.8143476
155,0.95,0.8,47.39341995,0.32026982,-29.86972245,147.9796628,1.586670919,234.7950275
156,0.945,3.24,52.0624901,0.365872938,-31.58914729,142.2966411,1.648113183,234.5209701
157,0.945,2.68,52.05743243,0.365988878,-31.58914729,142.2377443,1.647953076,234.4011281
158,0.945,3.26,52.03183149,0.365899793,-31.58914729,142.2024074,1.647142641,234.2276489
159,0.945,2.42,52.05946913,0.366542679,-31.58914729,142.0283968,1.64801755,234.0652906
160,0.945,3.28,52.00116841,0.365926819,-31.58914729,142.1081093,1.646171957,233.9343843
161,0.945,3.3,51.97050085,0.365954015,-31.58914729,142.0137469,1.645201131,233.6411769
162,0.945,2.7,51.96957898,0.366087997,-31.58914729,141.9592541,1.645171948,233.5473826
163,0.945,1.04,48.58173851,0.33470413,-30.21237695,145.1483091,1.608007824,233.3996167
164,0.945,3.32,51.9398288,0.365981381,-31.58914729,141.9193203,1.644230163,233.3480272
165,0.945,1.02,48.14869207,0.332994993,-29.83842693,144.5928411,1.613647133,233.3218235
166,0.945,2.82,51.95754522,0.366275012,-31.58914729,141.8539172,1.644791002,233.3200467
167,0.95,1.22,53.73704513,0.356538096,-34.71760833,150.7189436,1.547832576,233.2876907
168,0.945,3.34,51.90915226,0.366008916,-31.58914729,141.8248298,1.643259053,233.0549356
169,0.945,2.38,51.93295316,0.366581791,-31.58914729,141.6681202,1.644012505,232.9041612
170,0.945,2.84,51.90471841,0.366329466,-31.58914729,141.6886253,1.643118693,232.8112288
171,0.945,2.44,51.9270114,0.366684832,-31.58914729,141.6121064,1.64382441,232.7854372
172,0.945,3.36,51.87847124,0.366036622,-31.58914729,141.7302755,1.642287801,232.7619025
173,0.945,2.72,51.88172828,0.366187827,-31.58914729,141.6806472,1.642390908,232.6950067
174,0.93,0.64,39.86172961,0.278451868,-24.53809801,143.1548291,1.624483266,232.5526244
175,0.96,0.6,45.29708922,0.302821591,-29.14444335,149.5834197,1.554227291,232.4866332
176,0.945,3.38,51.84778572,0.366064497,-31.58914729,141.6356575,1.641316407,232.4689285
177,0.955,1.1,53.69071122,0.35377995,-35.06089831,151.7630133,1.531355836,232.4031761
178,0.945,2.86,51.85188528,0.366384296,-31.58914729,141.5232198,1.641446184,232.3027492
179,0.945,3.4,51.81709571,0.366092542,-31.58914729,141.540976,1.64034487,232.1760139
180,0.945,2.36,51.83905726,0.366464166,-31.58914729,141.4573705,1.641040095,232.1372167
181,0.935,0.3,30.77233577,0.219173529,-18.61185996,140.4016986,1.653372411,232.136295
182,0.945,3.42,51.78640121,0.366120757,-31.58914729,141.4462312,1.639373192,231.8831594
183,0.945,2.88,51.79904583,0.366439503,-31.58914729,141.3577015,1.639773475,231.7946095
184,0.945,3.44,51.75570221,0.366149141,-31.58914729,141.3514231,1.63840137,231.5903653
185,0.945,3.82,51.7657086,0.366403757,-31.58914729,141.2805073,1.638718137,231.5189297
186,0.945,3.84,51.74706102,0.366423491,-31.58914729,141.2220076,1.638127821,231.3396997
187,0.945,3.46,51.7249987,0.366177696,-31.58914729,141.256552,1.637429407,231.2976322
188,0.95,1.16,52.4576871,0.353682055,-33.65510547,148.318769,1.558684377,231.1821481
189,0.945,3.86,51.7284091,0.366443329,-31.58914729,141.1634625,1.637537368,231.1604448
190,0.945,1.12,49.01999069,0.341238698,-30.47630775,143.6530821,1.608462255,231.0605604
191,0.945,3.48,51.6942907,0.366206419,-31.58914729,141.161618,1.636457301,231.0049604
192,0.945,3.88,51.70975281,0.36646327,-31.58914729,141.1048719,1.636946776,230.9811651
193,0.95,1.06,49.82520034,0.345694671,-31.09365066,144.1306578,1.602423623,230.9583708
194,0.945,4.28,51.71765117,0.366667361,-31.58914729,141.0478723,1.63719681,230.9231266
195,0.945,4.3,51.71035112,0.366677304,-31.58914729,141.024139,1.636965716,230.8516807
196,0.945,3.9,51.69109217,0.366483316,-31.58914729,141.0462358,1.636356047,230.8018608
197,0.945,4.32,51.70304844,0.366687292,-31.58914729,141.0003825,1.636734539,230.7801961
198,0.945,3.5,51.66357819,0.366235313,-31.58914729,141.0666213,1.635485052,230.7123505
199,0.945,4.34,51.69574311,0.366697325,-31.58914729,140.9766029,1.636503279,230.7086729
200,0.945,4.36,51.68843515,0.366707402,-31.58914729,140.9528001,1.636271935,230.637111
201,0.945,3.92,51.67242716,0.366503465,-31.58914729,140.9875544,1.635765179,230.6225322
202,0.945,4.38,51.68112455,0.366717525,-31.58914729,140.9289742,1.636040507,230.5655104
203,0.945,4.4,51.6738113,0.366727692,-31.58914729,140.9051252,1.635808996,230.4938713
204,0.97,0.62,45.27190124,0.317105096,-28.04393908,142.7662368,1.614320339,230.4704399
205,0.945,3.94,51.65375779,0.366523717,-31.58914729,140.9288277,1.635174173,230.4431793
206,0.945,4.42,51.66649541,0.366737904,-31.58914729,140.881253,1.635577401,230.4221936
207,0.945,3.52,51.63286117,0.366264376,-31.58914729,140.971562,1.63451266,230.4198029
208,0.945,4.44,51.65917687,0.366748161,-31.58914729,140.8573577,1.635345722,230.3504773
209,0.945,4.46,51.65185568,0.366758463,-31.58914729,140.8334393,1.635113959,230.2787225
210,0.945,3.96,51.63508406,0.366544073,-31.58914729,140.8700557,1.634583029,230.2638024
211,0.945,4.48,51.64453184,0.366768809,-31.58914729,140.8094978,1.634882112,230.2069292
212,0.945,4.5,51.63720535,0.366779201,-31.58914729,140.7855332,1.634650182,230.1350973
213,0.945,2.76,51.63805237,0.366801495,-31.58914729,140.7792854,1.634676995,230.1286592
214,0.945,3.54,51.60213964,0.366293608,-31.58914729,140.8764403,1.633540126,230.1273181
215,0.945,3.98,51.61640595,0.366564533,-31.58914729,140.8112386,1.633991747,230.0844017
216,0.945,4.52,51.6298762,0.366789637,-31.58914729,140.7615455,1.634418167,230.0632271
217,0.93,0.42,32.95853878,0.239118545,-19.7467134,137.8334699,1.669064523,230.0529547
218,0.945,4.54,51.62254439,0.366800118,-31.58914729,140.7375347,1.634186068,229.9913183
219,0.945,1.22,51.63893382,0.346939926,-33.42398752,148.8411391,1.544966285,229.9545417
220,0.945,4.56,51.61520992,0.366810645,-31.58914729,140.7135008,1.633953885,229.9193712
221,0.945,4,51.59772347,0.366585097,-31.58914729,140.7523763,1.633400326,229.9049773
222,0.945,0.72,43.90370679,0.299555762,-27.99187836,146.5627183,1.568444469,229.8754848
223,0.945,4.58,51.60787279,0.366821215,-31.58914729,140.6894438,1.633721617,229.8473857
224,0.945,3.56,51.5714136,0.36632301,-31.58914729,140.7812564,1.632567449,229.8348966
225,0.945,4.6,51.60053299,0.366831831,-31.58914729,140.6653638,1.633489265,229.7753618
226,0.945,4.02,51.57903662,0.366605764,-31.58914729,140.693469,1.632808767,229.7255295
227,0.945,4.62,51.59319053,0.366842492,-31.58914729,140.6412607,1.633256829,229.7032996
228,0.945,4.64,51.5858454,0.366853197,-31.58914729,140.6171346,1.633024308,229.631199
229,0.945,4.66,51.5784976,0.366863947,-31.58914729,140.5929854,1.632791703,229.5590602
230,0.945,4.04,51.56034539,0.366626534,-31.58914729,140.6345166,1.632217069,229.5460584
231,0.945,3.58,51.54068305,0.366352581,-31.58914729,140.6860103,1.631594629,229.5425388
232,0.945,2.78,51.57135461,0.366877526,-31.58914729,140.5683123,1.632565582,229.4869886
233,0.945,4.68,51.57114713,0.366874742,-31.58914729,140.5688132,1.632559013,229.486883
234,0.945,4.7,51.56379399,0.366885582,-31.58914729,140.544618,1.632326239,229.4146677
235,0.945,4.06,51.54164977,0.366647408,-31.58914729,140.5755192,1.631625232,229.3665642
236,0.965,0.72,45.53809126,0.323005407,-27.99187836,140.9824425,1.626832279,229.3547881
237,0.945,4.72,51.55643816,0.366896467,-31.58914729,140.5203997,1.63209338,229.3424141
238,0.945,4.74,51.54907966,0.366907396,-31.58914729,140.4961584,1.631860436,229.2701223
239,0.945,3.6,51.50994798,0.366382322,-31.58914729,140.5907023,1.630621666,229.2502451
240,0.945,4.76,51.54171848,0.36691837,-31.58914729,140.4718941,1.631627407,229.1977923
241,0.945,4.08,51.52294978,0.366668386,-31.58914729,140.516477,1.631033257,229.1870471
242,0.945,4.78,51.53435461,0.36692939,-31.58914729,140.4476068,1.631394293,229.1254242
243,0.945,4.8,51.52698806,0.366940453,-31.58914729,140.4232965,1.631161095,229.0530179
244,0.945,4.1,51.50424539,0.366689467,-31.58914729,140.4573899,1.630441143,229.0075072
245,0.945,4.82,51.51961883,0.366951562,-31.58914729,140.3989631,1.630927811,228.9805736
246,0.945,3.62,51.47920839,0.366412232,-31.58914729,140.4953324,1.62964856,228.9580162
247,0.945,4.84,51.5122469,0.366962715,-31.58914729,140.3746068,1.630694442,228.9080912
248,0.945,2.8,51.50465057,0.366954085,-31.58914729,140.3572073,1.630453969,228.8459658
249,0.945,4.86,51.50487229,0.366973914,-31.58914729,140.3502276,1.630460988,228.8355707
250,0.945,4.12,51.48553662,0.366710651,-31.58914729,140.398258,1.629848889,228.8279449
251,0.945,4.88,51.49749498,0.366985157,-31.58914729,140.3258253,1.630227448,228.7630121
252,0.945,1.18,49.85236822,0.34574466,-31.42375305,144.1883966,1.586454939,228.7483939
253,0.945,4.9,51.49011497,0.366996444,-31.58914729,140.3014001,1.629993824,228.6904156
254,0.945,3.64,51.44846427,0.366442312,-31.58914729,140.399901,1.628675311,228.6658524
255,0.945,4.14,51.46682346,0.366731939,-31.58914729,140.3390814,1.629256497,228.6483602
256,0.945,4.92,51.48273227,0.367007777,-31.58914729,140.2769519,1.629760114,228.6177811
257,0.945,4.94,51.47534687,0.367019154,-31.58914729,140.2524808,1.629526318,228.5451086
258,0.945,4.18,51.43616004,0.366472731,-31.58914729,140.3546723,1.628285802,228.5375201
259,0.945,4.96,51.46795876,0.367030576,-31.58914729,140.2279867,1.629292437,228.4723982
260,0.945,4.16,51.44810591,0.366753331,-31.58914729,140.2798601,1.628663966,228.4687533
261,0.945,4.2,51.42239475,0.3664882,-31.58914729,140.3111879,1.627850042,228.4055732
262,0.945,4.98,51.46056795,0.367042043,-31.58914729,140.2034697,1.62905847,228.3996499
263,0.945,3.66,51.41771564,0.36647256,-31.58914729,140.304408,1.627701918,228.3737541
264,0.945,4.22,51.40862537,0.366503752,-31.58914729,140.2676644,1.627414153,228.2735823
265,0.945,3.7,51.41682497,0.366724702,-31.58914729,140.2055128,1.627673723,228.208829
266,0.95,1.12,51.3413533,0.350750539,-32.93905988,146.3756934,1.558676947,228.152419
267,0.945,4.24,51.39485191,0.366519387,-31.58914729,140.2241018,1.626978134,228.1415475
268,0.945,3.68,51.38696248,0.366502978,-31.58914729,140.2088538,1.626728383,228.0817219
269,0.945,4.26,51.38107435,0.366535105,-31.58914729,140.1805001,1.626541986,228.009469
270,0.945,3.72,51.39195218,0.366750728,-31.58914729,140.127744,1.626886339,227.9719123
271,0.945,3.74,51.36707463,0.366776892,-31.58914729,140.0499205,1.626098804,227.7350083
272,0.935,0.42,35.73294608,0.242142737,-23.15842024,147.5697622,1.542978567,227.6969801
273,0.945,3.76,51.34219233,0.366803194,-31.58914729,139.9720427,1.625311119,227.4981174
274,0.945,3.78,51.31730528,0.366829634,-31.58914729,139.8941105,1.624523284,227.2612398
275,0.93,0.66,40.18081285,0.279372942,-25.43012564,143.8249981,1.580047752,227.2503649
276,0.955,1.02,50.7979922,0.346582061,-32.77327754,146.5684404,1.549982059,227.1784529
277,0.93,1.92,50.38470413,0.340077926,-32.86014092,148.1563495,1.53330761,227.1692582
278,0.945,3.8,51.29241347,0.366856211,-31.58914729,139.8161241,1.623735298,227.0243758
279,0.95,1.66,53.42925786,0.367555217,-34.2368793,145.3638946,1.560576167,226.8514293
280,0.95,1.36,52.11422865,0.358859945,-33.3660129,145.2216371,1.561895597,226.8210357
281,0.94,0.3,31.14633024,0.222427682,-19.24821466,140.0290194,1.618141256,226.5867333
282,0.95,1.64,53.26575265,0.367691343,-34.1083777,144.8653976,1.561661862,226.2307666
283,0.95,1.38,52.25947732,0.360430126,-33.5154551,144.991979,1.559265036,226.0809233
284,0.945,1.06,47.37590665,0.336179526,-29.54483343,140.9244259,1.603525935,225.9759718
285,0.955,1.04,51.09671838,0.34832675,-33.20304803,146.6919163,1.538916497,225.74661
286,0.95,1.92,56.14689215,0.371907674,-37.61677378,150.9699746,1.492602542,225.3381678
287,0.945,1.14,48.73908452,0.34301072,-30.79331957,142.0920154,1.58278111,224.9005578
288,0.955,0.96,50.38179158,0.341876379,-33.01476234,147.3684488,1.526038293,224.8898961
289,0.95,1.32,52.09706524,0.358364311,-33.68336708,145.3745913,1.546670352,224.8465704
290,0.93,1.94,50.09240217,0.340125494,-32.86014092,147.276235,1.524412275,224.5097004
291,0.95,1.78,55.80692956,0.371483269,-37.3750642,150.2273029,1.49315943,224.313314
292,0.93,1.98,50.18144395,0.341966436,-32.86014092,146.7437699,1.527121995,224.0956386
