,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
125,0.94,2.9,24.72700136,0.225252717,-21.93448552,109.7744868,1.127311664,123.7500594
126,0.92,4.1,22.74967383,0.208617371,-20.06892675,109.0497579,1.133577002,123.6162976
127,1.005,3.9,31.55557163,0.271562918,-29.93889411,116.1998546,1.05399924,122.4745584
128,0.92,4.3,22.61703714,0.208809961,-20.06892675,108.3139761,1.126967945,122.0663791
129,0.915,3.1,22.86770917,0.20432762,-21.08398844,111.9168775,1.084600726,121.3851266
130,0.945,0.1,13.27291773,0.117315639,-12.41133823,113.1385192,1.069418743,120.992453
131,0.925,3.1,22.55714111,0.212319912,-20.06892685,106.2412887,1.123983424,119.4134474
132,0.985,4.7,29.83736477,0.25912635,-28.854449,115.146008,1.034064618,119.0684128
133,0.98,3.5,30.05716576,0.25953103,-29.23936272,115.8133798,1.02796925,119.0525931
134,0.985,4.9,29.81540863,0.259123123,-28.854449,115.0627096,1.03330369,118.8947225
135,0.975,4.7,32.5747442,0.253561617,-35.28561335,128.4687507,0.923173529,118.5989499
136,0.98,3.7,30.00213636,0.259695826,-29.23936272,115.5279883,1.026087218,118.5417922
137,0.975,4.9,32.55232516,0.253558371,-35.28561335,128.3819778,0.92253817,118.4372748
138,0.945,3.5,25.79729545,0.22913208,-24.56011919,112.5870085,1.050373382,118.2583969
139,0.925,2.7,22.56513158,0.212351549,-20.27708211,106.263089,1.112839187,118.2537296
140,0.915,3.3,22.5720483,0.204791245,-21.08398844,110.2197912,1.070577722,117.998853
141,1.01,4.7,32.33771119,0.271012599,-32.75248524,119.3218003,0.987336105,117.8107215
142,0.98,3.1,29.88201644,0.259245839,-29.23936272,115.2651728,1.021979061,117.798593
143,0.95,0.1,13.45578987,0.119201029,-12.8953103,112.8831689,1.043463829,117.7895036
144,0.945,3.7,25.74406848,0.229318458,-24.56011919,112.2633945,1.04820617,117.6751828
145,1.01,4.9,32.31533224,0.271009569,-32.75248524,119.2405582,0.98665283,117.6490342
146,0.955,4.5,29.42575684,0.235468957,-31.26381234,124.9666078,0.94120821,117.6195972
147,0.95,4.7,29.78355618,0.231761419,-32.54483218,128.5095524,0.915154702,117.6061211
148,0.915,3.5,22.56712587,0.205386791,-21.08398844,109.876228,1.070344254,117.6053892
149,0.95,4.9,29.76160914,0.23175779,-32.54483218,128.4168666,0.914480338,117.4346996
150,0.94,2.1,24.05314735,0.224380241,-22.00036531,107.1981527,1.093306725,117.2004613
151,0.915,3.7,22.51526564,0.205594469,-21.08398844,109.5129928,1.067884556,116.9472338
152,0.945,3.1,25.63019425,0.228929127,-24.56011919,111.9568949,1.04356962,116.8348142
153,0.905,0.9,17.99151272,0.170587111,-16.2444841,105.4681834,1.107545959,116.8108604
154,0.91,1.5,22.6309374,0.191833133,-22.86997898,117.9719948,0.989547801,116.738928
155,0.92,3.9,22.10993007,0.209262798,-20.06892675,105.6562861,1.101699674,116.401496
156,0.895,2.7,20.16310881,0.176314964,-19.82076393,114.3584658,1.017272033,116.3336689
157,0.94,0.9,22.13447318,0.194936652,-21.63693392,113.5470057,1.022994906,116.1580084
158,0.925,3.3,22.26222757,0.212766087,-20.06892685,104.632406,1.109288391,116.0675133
159,0.94,2.5,24.3253404,0.226035795,-22.56259665,107.6172048,1.078126812,116.024994
160,0.965,4.7,30.91220083,0.240252462,-34.29187964,128.6654904,0.901443757,115.9847031
161,1,4.1,31.46139676,0.268686369,-31.80568701,117.0933861,0.989175198,115.8258734
162,0.965,4.9,30.89006294,0.240248991,-34.29187964,128.5752036,0.900798185,115.82031
163,0.925,3.5,22.25731757,0.213339373,-20.06892685,104.3282224,1.109043734,115.7045614
164,1.005,3.5,30.75442039,0.27313243,-29.93889411,112.5989338,1.027239693,115.6660942
165,0.945,0.9,22.06896509,0.198414826,-21.22798601,111.2263914,1.039616527,115.6327948
166,0.91,1.3,21.3856682,0.188908483,-20.95459672,113.2065003,1.020571691,115.5353494
167,1.005,3.7,30.69909598,0.273289073,-29.93889411,112.3319554,1.025391782,115.1842639
168,0.925,3.7,22.20558843,0.213539311,-20.06892685,103.9882927,1.10646616,115.059527
169,0.94,2.3,24.03643296,0.225409347,-22.28148098,106.6345886,1.078762807,115.033428
170,0.94,1.7,24.27740275,0.220710487,-23.26820369,109.9965983,1.043372452,114.7674205
171,1,4.3,31.31934665,0.268837201,-31.80568701,116.4993034,0.984709013,114.717914
172,1.005,3.1,30.57833202,0.272861641,-29.93889411,112.0653378,1.0213581,114.4588405
173,0.91,1.9,23.13932907,0.199219384,-23.51152458,116.1499878,0.984169657,114.3112936
174,0.98,3.3,29.43929647,0.259818958,-29.23936272,113.3069608,1.006837829,114.0817344
175,1.005,0.1,17.2716659,0.139380705,-18.83524291,123.917194,0.916986629,113.63041
176,0.905,0.1,10.55642281,0.098309089,-9.995792779,107.3799268,1.0560866,113.4025018
177,0.945,3.3,25.20194951,0.229582474,-24.56011919,109.7729676,1.026133029,112.6416678
178,0.945,2.7,25.88985831,0.228523684,-26.06512936,113.2917948,0.99327565,112.5299811
179,0.985,4.5,29.0150192,0.259883429,-28.854449,111.6462843,1.005564833,112.2675772
180,0.975,4.5,31.735061,0.254337123,-35.28561335,124.7755759,0.899376771,112.2202545
181,0.905,1.1,19.28913817,0.177340079,-18.76811356,108.7691977,1.027761161,111.7887569
182,0.895,4.5,20.9630488,0.176614347,-22.29233448,118.6939179,0.940370279,111.6162327
183,1.01,4.5,31.49952928,0.271738559,-32.75248524,115.9185116,0.961744706,111.4840148
184,0.95,0.9,23.65436732,0.204437619,-24.56875756,115.7045726,0.962782398,111.3983258
185,0.925,2.9,22.05386211,0.212990567,-20.51517858,103.5438441,1.0750022,111.3098602
186,0.92,3.1,21.66393801,0.210256998,-20.06892675,103.0355145,1.079476659,111.224433
187,1.005,3.3,30.13323856,0.273406644,-29.93889411,110.2139951,1.00649137,110.929435
188,0.95,4.5,28.96155149,0.232606826,-32.54483218,124.5086054,0.889897091,110.7998457
189,0.98,2.7,30.13729864,0.258903177,-31.67847961,116.4037422,0.951349276,110.7406158
190,1,3.9,30.77624944,0.269194026,-31.80568701,114.3273865,0.967633538,110.6270134
191,0.895,2.9,19.79068866,0.176789072,-20.09538288,111.9452034,0.984837601,110.2478456
192,0.935,1.3,20.88519564,0.210096926,-18.92462614,99.4074309,1.10359885,109.7059264
193,0.93,0.1,12.52407419,0.113324603,-12.61773487,110.5150507,0.99257706,109.6947041
194,0.93,1.5,22.76253427,0.210058019,-22.51084674,108.3630817,1.011180723,109.5746592
195,0.965,4.5,30.08304767,0.241069172,-34.29187964,124.7901066,0.877264472,109.4739269
196,0.98,1.1,25.96146746,0.237344402,-26.15087468,109.3831042,0.992757136,108.5908573
197,0.935,1.9,22.57786341,0.221875916,-21.17443572,101.7589644,1.066279343,108.5034817
198,0.915,0.9,18.36272467,0.179655178,-17.33272033,102.2109406,1.059425429,108.2848696
199,0.92,3.3,21.37117382,0.210707204,-20.06892675,101.4259284,1.064888725,108.0073275
200,1.01,0.1,16.84193614,0.139482785,-18.83524291,120.7456254,0.894171433,107.9672889
201,0.94,1.1,22.46738241,0.204815052,-22.88700122,109.6959536,0.981665627,107.6847471
202,0.92,3.5,21.3662996,0.21128609,-20.06892675,101.1249704,1.064645851,107.6622802
203,0.915,2.7,22.87571989,0.204360493,-23.78675099,111.9380736,0.961700062,107.6508523
204,0.955,4.1,28.1618239,0.235929493,-31.26381234,119.3654239,0.900780225,107.5220134
205,0.9,4.7,20.2514284,0.182053658,-21.02222981,111.2387886,0.963333984,107.1601054
206,0.955,0.9,23.52114602,0.207859431,-24.84405378,113.158907,0.946751534,107.1333687
207,0.92,3.7,21.31494746,0.211487915,-20.06892675,100.7856524,1.062087062,107.0431374
208,0.9,4.9,20.23108751,0.182074982,-21.02222981,111.1140438,0.962366394,106.9324217
209,0.955,4.3,28.02333913,0.236100663,-31.26381234,118.6923355,0.89635067,106.3899544
210,1.005,2.7,29.52246462,0.2745863,-29.93889411,107.5161604,0.986090686,106.0206843
211,0.895,3.1,19.54257731,0.177180401,-20.37000183,110.2976243,0.959380243,105.8173617
212,0.945,2.9,25.23967699,0.229329334,-26.28593955,110.0586504,0.960196875,105.6779722
213,1.005,1.1,26.02324969,0.249478834,-25.81021658,104.3104511,1.008253829,105.1714117
214,0.98,2.9,29.46519864,0.25961146,-31.88252524,113.4972956,0.924180203,104.8919536
215,1,0.1,16.47312286,0.137713796,-18.83524291,119.6185373,0.874590412,104.6172258
216,1,3.5,29.97984414,0.270776724,-31.80568701,110.7179513,0.942593824,104.3620571
217,1,3.7,29.92484747,0.270934693,-31.80568701,110.4504083,0.940864678,103.9188878
218,0.905,1.9,20.22606691,0.192975437,-20.41577484,104.8116135,0.990707777,103.8376806
219,0.93,1.3,20.71468616,0.206790142,-20.08873474,100.1725034,1.031159325,103.293811
220,1,3.1,29.80479896,0.27050344,-31.80568701,110.1826985,0.937090243,103.2511317
221,0.975,4.1,30.44857608,0.254766929,-35.28561335,119.5154183,0.86291758,103.1319555
222,0.925,2.5,21.42308194,0.214299676,-20.81841564,99.96786911,1.02904478,102.8714139
223,0.895,2.5,18.96329755,0.178866369,-19.54614498,106.0193578,0.970180952,102.8579615
224,0.985,4.1,27.75509738,0.260301207,-28.854449,106.6268485,0.9619001,102.5643763
225,1.01,4.1,30.21534449,0.272141281,-32.75248524,111.0281556,0.922535932,102.427463
226,0.905,1.3,19.21771379,0.182656373,-19.74485299,105.2123914,0.97330245,102.4034784
227,0.955,3.9,27.49387323,0.236504593,-31.26381234,116.2509063,0.879415247,102.2328194
228,0.975,4.3,30.30762037,0.254925812,-35.28561335,118.8880015,0.858922872,102.1156237
229,0.895,4.1,19.78177159,0.177156344,-21.74309658,111.66279,0.909795508,101.5903047
230,0.915,2.9,22.36315483,0.205024485,-24.01436566,109.0755321,0.931240706,101.5755756
231,0.895,3.3,19.29442343,0.177595034,-20.64462078,108.6428097,0.934598103,101.5373639
232,0.985,4.3,27.6170521,0.260456408,-28.854449,106.0332987,0.957115906,101.4861568
233,0.995,4.7,29.86176441,0.263407396,-33.36129779,113.3672208,0.895102001,101.4752262
234,1.01,4.3,30.0746408,0.272290069,-32.75248524,110.4507443,0.918239962,101.4202872
235,0.92,0.1,11.64870712,0.110242371,-12.13953892,105.6645195,0.959567508,101.3922397
236,0.995,4.9,29.83980415,0.263404224,-33.36129779,113.2852148,0.894443745,101.3272518
237,0.95,4.1,27.70215183,0.233072313,-32.54483218,118.8564675,0.851199714,101.1705911
238,0.92,2.7,21.67187024,0.210288956,-22.09131091,103.057577,0.981013319,101.1008557
239,0.945,1.7,24.70546025,0.224406782,-26.94431184,110.0923066,0.916908192,100.9445378
240,0.93,1.9,22.669519,0.216883004,-23.50063934,104.524184,0.964634139,100.8275963
241,0.895,3.5,19.32928643,0.178017938,-20.91923973,108.5805549,0.923995646,100.3279599
242,0.965,4.1,28.81269582,0.241520049,-34.29187964,119.2973254,0.840219204,100.2359038
243,1.005,2.9,28.73596069,0.275477548,-29.93889411,104.3132586,0.959820379,100.1219914
244,0.95,4.3,27.56416376,0.233245506,-32.54483218,118.1766126,0.846959776,100.0908373
245,1,3.3,29.3623422,0.271052871,-31.80568701,108.3269921,0.923178996,100.0052038
246,0.925,0.1,11.86655013,0.111639232,-12.6834335,106.2937276,0.935594461,99.44782276
247,0.965,4.3,28.67350776,0.241687369,-34.29187964,118.6388345,0.836160282,99.20108132
248,0.925,2.1,21.02104041,0.212764264,-20.97950525,98.79967644,1.001979797,98.99527973
249,0.98,2.5,28.47186573,0.260466895,-31.47443398,109.3108808,0.904602947,98.88294486
250,0.895,4.3,19.65233613,0.177409488,-22.01771553,110.7738733,0.892569263,98.87335444
